YEAR	Q1CPC	LQ1CPC	LR1C	LQTOTALPC	FITM1	RESM1	COOKD	PREDM1	EPREDM1	RESM1SQRD
1950	148.045598543241	4.99752032457674	4.61478026867112	8.44915666218034	4.84566761014186	0.151852714434871	0.154898553751059	4.84566493995312	127.187826149386	0.0230592468812385
1951	152.422602722803	5.02665694408485	4.65277436006495	8.51038032479454	4.89529330448853	0.131363639596319	0.0685841526548136	4.8952906174734	133.658844566485	0.0172564058079917
1952	168.903557022369	5.12932788352313	4.60599354722463	8.56181989337782	5.02528098982929	0.104046893693841	0.0552272763989039	5.02527827027373	152.21260646364	0.0108257560873375
1953	168.720104362951	5.12824115472741	4.61744725379738	8.54647941572332	4.98931735196376	0.138923802763656	0.0863695751716218	4.98931464152853	146.835753874414	0.0192998229743151
1954	169.695956435549	5.13400834423413	4.63008235281728	8.59800540325671	5.05277985149431	0.0812284927398252	0.0205242639905896	5.05277712237556	156.456360175459	0.00659806803278384
1955	180.99600935087	5.19847498323752	4.64800397377429	8.659339286924	5.12508980733858	0.0733851758989408	0.0116529807748065	5.12508705665365	168.188782967151	0.00538538404171848
1956	167.013102272462	5.11807226606052	4.67737091000244	8.68604186010654	5.1323789528376	-0.0143066867770827	0.000529022577449125	5.13237619780592	169.419213690147	0.000204681286537553
1957	152.520814061055	5.02730107238041	4.6854562548101	8.65965028796404	5.08354278462849	-0.0562417122480854	0.0101770914898565	5.08354004257042	161.344211522924	0.00316313019659644
1958	140.327537960457	4.94397924696763	4.67701142533243	8.6368837703887	5.05871297136728	-0.114733724399653	0.0390349385529928	5.05871023689517	157.387392908443	0.0131638275146156
1959	150.909049536942	5.01667733439939	4.65466823843735	8.68526022139612	5.15667007488042	-0.13999274048103	0.0388655649202695	5.15666731486839	173.584986443926	0.0195979673873889
1960	165.861477334297	5.11115296609961	4.64349368300733	8.74371193254347	5.25727867648316	-0.146125710383552	0.0342017404756736	5.25727588931182	191.957863942773	0.0213527232350979
1961	188.791750728536	5.2406445595817	4.63829320617192	8.80598762411855	5.35694709952133	-0.116302539939631	0.0186640480449844	5.35694428498167	212.075911773435	0.0135262807964094
1962	204.257024535779	5.31937912500077	4.63576658584558	8.85227768830236	5.42952942535407	-0.110150300353303	0.0156910947961479	5.42952659078435	228.041263030624	0.0121330886679229
1963	214.025158623129	5.36609357177127	4.64762119010021	8.88120787893272	5.45982115638917	-0.0937275846179029	0.0105614217593073	5.45981831244232	235.05471396848	0.00878486011830614
1964	220.600197867429	5.39635200377017	4.65939481676926	8.92089352458123	5.50640958255976	-0.110057578789585	0.0164542711902182	5.50640672470021	246.264638679664	0.0121126706490258
1965	238.183929706159	5.47304318909601	4.66058822039275	8.9680442219883	5.57611538560904	-0.103072196513029	0.015650245422768	5.57611250822792	264.043142466297	0.0106238776940205
1966	251.566286100985	5.52770651783894	4.67634783917414	8.98886268113951	5.5898038951312	-0.0620973772922602	0.00821945585478032	5.58980101269252	267.682349023835	0.00385608426657731
1967	259.699937034544	5.55952687621409	4.66661947213007	9.00447882638242	5.62424733470371	-0.0647204584896173	0.00744454453649096	5.62424444343242	277.062868750248	0.00418873774710627
1968	271.868583162218	5.60531879940245	4.62469829770725	9.00510266330548	5.67221633279413	-0.0668975333916793	0.00709919831979121	5.67221343145841	290.677216958698	0.00447527997389084
1969	373.11302391972	5.92188138693419	4.63426614615468	9.10589979196372	5.81335941790093	0.108521969033258	0.0224552275332587	5.81335647647335	334.740791790868	0.0117770177628553
1970	380.109849553872	5.94046028871885	4.71819558773124	9.17913762101036	5.82955522691851	0.11090506180034	0.111102537812803	5.82955227436034	340.206325873209	0.0122999327329372
1971	411.721341688168	6.02034676539241	4.71071606357496	9.20006026710305	5.8694714192874	0.150875346105004	0.182066342205888	5.86946845619391	354.060731452169	0.0227633700623048
1972	441.041446645257	6.08913885435327	4.69763886766289	9.27486811649686	5.99685920345232	0.0922796509009496	0.064086271782651	5.99685620588589	402.162487971167	0.00851553397040112
1973	480.701228006258	6.17524592951753	4.65373727490452	9.32738542676514	6.12524074654913	0.0500051829684045	0.0122681142355287	6.12523771666291	457.253397102081	0.00250051832370361
1974	550.483946616637	6.3107977942782	4.49883845018227	9.34392479478969	6.32393389884355	-0.0131361045653531	0.0101064357756599	6.32393082579182	557.761150916728	0.00017255724315189
1975	524.069278770642	6.26162388697624	4.60517018598809	9.3652215352735	6.23673525460458	0.0248886323716615	0.00394123916881414	6.23673219747297	511.185325912826	0.000619444021331717
1976	532.852275853313	6.27824422975349	4.56663543284741	9.36853547409953	6.28495854381891	-0.006714314065424	0.000520323396731979	6.28495547628503	536.440405786056	4.50820133691505E-05
1977	544.21912258119	6.29935196461674	4.49109988782577	9.3495893138147				6.34114733356818	567.446989016733	
1978	533.361388742767	6.27919922206891	4.56874645699052	9.37444331716847				6.29148891450742	539.956680210203	
1979	521.438915356686	6.25659213499482	4.61194228569706	9.4287049607766				6.32478899032437	558.240007193428	
1980	527.9840987551	6.26906616725864	4.58940471169223	9.45297594398416				6.38664308207014	593.85969162194	
1981	536.208333333333	6.28452276714572	4.59170695584478	9.46373504245956				6.40027165946347	602.008556981913	
